[SYS] 2024/10/05 - 02:09:48 | One API v0.6.6 started 
[SYS] 2024/10/05 - 02:09:48 | using MySQL as database 
[FATAL] 2024/10/05 - 02:09:48 | [dial tcp 172.19.0.2:3306: connect: connection refused] 
[SYS] 2024/10/05 - 02:09:50 | One API v0.6.6 started 
[SYS] 2024/10/05 - 02:09:50 | using MySQL as database 
[SYS] 2024/10/05 - 02:09:50 | database migration started 
[SYS] 2024/10/05 - 02:09:51 | database migrated 
[SYS] 2024/10/05 - 02:09:51 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/05 - 02:09:51 | using theme default 
[SYS] 2024/10/05 - 02:09:51 | memory cache enabled 
[SYS] 2024/10/05 - 02:09:51 | sync frequency: 600 seconds 
[SYS] 2024/10/05 - 02:09:51 | channels synced from database 
[SYS] 2024/10/05 - 02:09:51 | batch update enabled with interval 10s 
[SYS] 2024/10/05 - 02:09:51 | initializing token encoders 
[SYS] 2024/10/05 - 02:09:54 | token encoders initialized 
[SYS] 2024/10/05 - 02:10:01 | batch update started 
[SYS] 2024/10/05 - 02:10:01 | batch update finished 
[SYS] 2024/10/05 - 02:10:11 | batch update started 
[SYS] 2024/10/05 - 02:10:11 | batch update finished 
[SYS] 2024/10/05 - 02:10:21 | batch update started 
[SYS] 2024/10/05 - 02:10:21 | batch update finished 
[SYS] 2024/10/05 - 02:10:31 | batch update started 
[SYS] 2024/10/05 - 02:10:31 | batch update finished 
[SYS] 2024/10/05 - 02:10:41 | batch update started 
[SYS] 2024/10/05 - 02:10:41 | batch update finished 
[SYS] 2024/10/05 - 02:10:51 | batch update started 
[SYS] 2024/10/05 - 02:10:51 | batch update finished 
[SYS] 2024/10/05 - 02:11:01 | batch update started 
[SYS] 2024/10/05 - 02:11:01 | batch update finished 
[SYS] 2024/10/05 - 02:11:11 | batch update started 
[SYS] 2024/10/05 - 02:11:11 | batch update finished 
[SYS] 2024/10/05 - 02:11:21 | batch update started 
[SYS] 2024/10/05 - 02:11:21 | batch update finished 
[SYS] 2024/10/05 - 02:11:31 | batch update started 
[SYS] 2024/10/05 - 02:11:31 | batch update finished 
[SYS] 2024/10/05 - 02:11:41 | batch update started 
[SYS] 2024/10/05 - 02:11:41 | batch update finished 
[SYS] 2024/10/05 - 02:11:51 | batch update started 
[SYS] 2024/10/05 - 02:11:51 | batch update finished 
[SYS] 2024/10/05 - 02:12:01 | batch update started 
[SYS] 2024/10/05 - 02:12:01 | batch update finished 
[SYS] 2024/10/05 - 02:12:11 | batch update started 
